Sample,time,power,scale
0_5X 2,2.7763,849245.0207,2.25
0_5X 2,2.8963,684320.0472,1.8
0_5X 2,2.9363,710007.8623,1.85
0_5X 3,1.5523,210919.1977,1.6
0_5X 3,1.6083,2764.2613,2.25
0_5X 3,1.6443,327331.3951,2.7
0_5X 3,1.7443,437919.3155,2.1
0_5X 3,1.7843,312924.438,2.75
0_5X 3,1.8283,25126.9588,2.6
0_5X 3,1.8643,250984.3636,1.5
0_5X 3,1.9203,420230.4018,1.55
0_5X 3,1.9683,403288.4225,1.6
0_5X 3,1.9963,1163510.5216,2.65
0_5X 3,2.1283,48803.4134,1.7
0_5X 3,2.1923,828821.64,3
0_5X 3,2.2643,317340.8178,2.95
0_5X 3,2.3363,232015.6679,2.9
0_5X 3,2.4603,4036.5171,2
0_5X 3,2.4963,1782166.2184,2.95
0_5X 3,2.5403,3194.7647,2.25
0_5X 3,2.5883,1218528.157,3
0_5X 3,2.6483,283301.1725,2.95
0_5X 3,2.6883,597858.7992,1.75
0_5X 3,2.7363,212633.3326,2.9
0_5X 3,2.7883,588989.7317,2.1
0_5X 3,2.8203,9678.5833,2.1
0_5X 3,2.8523,120818.7833,2.15
0_5X 3,2.8923,434880.7193,2.9
0_5X 3,2.9403,1093277.6019,2.55
0_5X 3,2.9723,173978.196,1.6
1X 1,1.4843,20342.2424,2.85
1X 1,1.8083,460515.9206,2.95
1X 1,1.9763,111223.0952,1.75
1X 1,2.1163,370457.3538,2.9
1X 1,2.1963,379704.2554,2
1X 1,2.2483,509454.9113,2.35
1X 1,2.3123,728415.6955,1.6
1X 1,2.4003,432878.9073,1.85
1X 1,2.5083,387928.4258,1.85
1X 1,2.5483,14347.4955,2.25
1X 1,2.5843,477360.8345,2.25
1X 1,2.7003,211556.7178,2.95
1X 1,2.7523,338605.4808,1.85
1X 1,2.8483,527109.2172,2.35
1X 1,2.9043,694865.5571,2.25
1X 1,2.9443,115493.0295,2.35
1X 2,1.9283,196685.6739,3
1X 2,1.9803,601024.5953,2.95
1X 2,2.1643,253587.0223,2.25
1X 2,2.2963,135444.5549,2.7
1X 2,2.3683,213662.6039,2.05
1X 2,2.3963,50562.4312,1.6
1X 2,2.4403,765797.4663,1.85
1X 2,2.4843,860176.2771,1.85
1X 2,2.6003,686183.4216,1.85
1X 2,2.6323,22214.6233,2.1
1X 2,2.7083,135577.5484,2.6
1X 2,2.7483,1598570.5715,2.2
1X 2,2.9163,228152.4047,2.2
1X 3,1.2443,149171.2999,1.65
1X 3,1.6243,303369.608,1.5
1X 3,1.7523,225669.7849,1.65
1X 3,1.8003,103627.0968,2.1
1X 3,1.8323,112722.4024,1.85
1X 3,1.9123000000000001,252965.6496,2.65
1X 3,2.1243,8438.0217,1.8
1X 3,2.1643,77408.068,1.7
1X 3,2.2283,16851.875,2.25
1X 3,2.3523,352101.8121,2.95
1X 3,2.4683,8546.1346,3
1X 3,2.5083,556.9916,1.75
1X 3,2.5403,174218.9506,2.65
1X 3,2.6203,33001.6531,1.5
1X 3,2.7483,488860.5927,2.9
1X 3,2.8123,328128.9251,1.5
1X 3,2.9323,284468.8669,3
2X 1,1.5203,42658.5038,1.85
2X 1,1.8403,566.8722,2
2X 1,1.9803,123363.5869,1.85
2X 1,2.2563,19411.5356,1.5
2X 1,2.3163,13264.5125,2
2X 1,2.3483,882636.1785,2.65
2X 1,2.3843,45654.7109,1.55
2X 1,2.4243,458661.2989,2.25
2X 1,2.6003,184271.3308,1.6
2X 1,2.6523,1107702.1196,3
2X 1,2.7683,1529210.5148,3
2X 1,2.8483,518942.3782,2.4
2X 1,2.9163,615738.3202,1.7
2X 2,1.6643,346048.8629,2.1
2X 2,1.8523,799288.8682,2.25
2X 2,1.9123000000000001,46995.2819,2.2
2X 2,1.9483,837428.5959,1.55
2X 2,2.0003,49751.335,2.15
2X 2,2.0323,17110.0524,1.55
2X 2,2.1683,247245.36,1.75
2X 2,2.2043,68639.3104,1.5
2X 2,2.2443,34980.8995,1.6
2X 2,2.3323,972352.2142,2.95
2X 2,2.3963,279788.4996,1.5
2X 2,2.4523,679485.6556,1.55
2X 2,2.4843,5358.6181,1.85
2X 2,2.5403,637177.5541,2.95
2X 2,2.6243,827153.3134,2.85
2X 2,2.6763,27012.9929,1.85
2X 2,2.7003,2954.6851,2.15
2X 2,2.7763,112717.2246,2.5
2X 2,2.8483,276343.4389,2.55
2X 2,2.9043,38357.3476,1.9
2X 3,1.5403,343225.3323,1.6
2X 3,1.6803,359.5196,2.5
2X 3,1.7483,2699.5486,2.1
2X 3,2.1843,140771.409,1.6
2X 3,2.2323,124149.3158,2.95
2X 3,2.2883,195792.0899,2.25
2X 3,2.4003,569504.9101,1.9
2X 3,2.4363,552437.4345,1.5
2X 3,2.4803,129725.4881,2.2
2X 3,2.5203,68755.0931,1.9
2X 3,2.5483,3986.869,2.2
2X 3,2.6203,519643.1196,2.95
2X 3,2.6803,37309.0562,1.6
2X 3,2.7643,55989.4556,2.3
2X 3,2.8043,642340.8768,1.85
2X 3,2.9083,562680.6501,3
2X 3,2.9563,139842.0893,3
4X 1,1.5643,16100.0052,2.95
4X 1,1.7483,312159.4704,2.55
4X 1,1.8243,1003161.219,2.85
4X 1,1.9283,166996.9974,1.65
4X 1,2.1123,106676.6143,1.75
4X 1,2.1843,87683.3137,3
4X 1,2.2363,138192.1886,2.35
4X 1,2.2883,216492.8583,1.85
4X 1,2.3563,167341.9272,2.95
4X 1,2.3963,940.9707,1.85
4X 1,2.5243,544809.5969,1.65
4X 1,2.6203,326320.385,2.7
4X 1,2.6683,15954.4122,2.4
4X 1,2.7443,363398.1764,2.1
4X 1,2.7763,330554.3044,2.1
4X 1,2.8763,83177.1793,1.7
4X 1,2.9243,37358.5971,2.95
4X 1,2.9683,35294.6436,1.6
4X 2,1.3083,28490.6861,1.6
4X 2,1.5563,131172.7024,1.9
4X 2,1.5963,277894.7995,2.55
4X 2,1.8363,236080.4715,2.25
4X 2,2.0003,100822.3129,1.6
4X 2,2.1723,57761.4612,1.9
4X 2,2.2243,333444.674,2.85
4X 2,2.2523,9222.4678,1.7
4X 2,2.4603,161559.0223,1.5
4X 2,2.6643,37371.8899,2.95
4X 2,2.7283,45317.8407,1.85
4X 2,2.8043,5535.0348,2.35
4X 2,2.9323,300371.5251,1.5
4X 3,1.4363,15607.1536,3
4X 3,1.5243,860737.1547,2.85
4X 3,1.7203,341.1977,1.9
4X 3,1.7523,210215.3647,2.7
4X 3,1.8203,138982.156,3
4X 3,1.8723,325196.1596,1.6
4X 3,2.1763,462896.5206,3
4X 3,2.2523,260806.3647,1.6
4X 3,2.2963,182927.9011,2.4
4X 3,2.3323,256732.5377,3
4X 3,2.3763,60045.3111,1.6
4X 3,2.4083,242555.7856,2.2
4X 3,2.4403,499505.0291,1.5
4X 3,2.4683,79447.638,2.3
4X 3,2.7323,887489.7863,3
4X 3,2.7883,130.2951,1.75
4X 3,2.8203,217616.7139,2.3
4X 3,2.9323,537587.8355,2.05
4X 3,2.9643,1958.4745,1.6
8X 1,1.5723,102204.5568,3
8X 1,1.7683,212312.102,2.1
8X 1,1.8323,194051.5823,2.95
8X 1,1.8923,194241.5536,2.35
8X 1,1.9203,19355.5761,2.25
8X 1,1.9603,27744.1149,2.1
8X 1,2.0043,66613.0802,2.45
8X 1,2.2683,83589.8633,1.5
8X 1,2.4123,149991.9727,1.65
8X 1,2.4923,25981.8999,2.95
8X 1,2.5763,65337.3932,2.7
8X 1,2.6363,76939.6666,2.1
8X 1,2.7883,3721.3522,1.6
8X 1,2.9363,204588.1549,2.95
8X 2,1.6203,821.4878,1.75
8X 2,1.6563,148094.9657,3
8X 2,1.7043,287208.8389,2.05
8X 2,1.7883,761931.001,2.4
8X 2,1.8403,727352.5317,2.3
8X 2,1.8723,156862.3873,1.6
8X 2,1.9043,930.1959,1.85
8X 2,2.0123,12188.7905,2.3
8X 2,2.1163,51329.6403,1.6
