Sample,time,power,scale
Blank 3,2.2483,651136.1713,3
Blank 3,2.3083,2582741.1666,2.8
Blank 3,2.3523,13220240.875,1.85
Blank 3,2.4243,1984131.4963,1.8
Blank 3,2.4483,4479936.6054,1.65
Blank 3,2.5123,4851953.7197,2.2
Blank 3,2.5483,10258450.5733,3
Blank 3,2.6523,11505925.2766,2.75
Blank 3,2.6923,3029077.2372,1.5
Blank 3,2.7483,4651349.5448,1.95
Blank 3,2.7923,3570417.3648,1.55
Blank 3,2.8643,2859519.179,3
Blank 3,2.9203,4130818.2425,2.25
Blank 3,2.9683,1034177.4836,1.5
0_25X 1,0.7043,129011.7452,1.9
0_25X 1,0.7603,63275.1733,2.25
0_25X 1,0.7963,572905.4527,2.35
0_25X 1,0.8363,70058.7452,2.15
0_25X 1,0.9243,184579.7917,1.6
0_25X 1,1.0123,982923.9941,1.55
0_25X 1,1.0643,5012508.0777,1.55
0_25X 1,1.1123,1795304.869,1.6
0_25X 1,1.1963,360052.649,1.85
0_25X 1,1.2523,4096347.5036,2.95
0_25X 1,1.2803,38688.3721,1.8
0_25X 1,1.3363,964358.392,1.5
0_25X 1,1.3883,882226.7675,1.55
0_25X 1,1.4243,5488797.3249,3
0_25X 1,1.4803,1580374.7131,1.9
0_25X 1,1.5123,318153.3863,2.2
0_25X 1,1.5603,3065702.1632,1.6
0_25X 1,1.6083,3049901.2618,1.6
0_25X 1,1.6443,1164736.0522,1.5
0_25X 1,1.7003,1862044.241,3
0_25X 1,1.7683,1513247.9965,3
0_25X 1,1.8203,438862.7089,1.75
0_25X 1,1.8563,3567995.2629,1.75
0_25X 1,1.8923,3143878.9148,1.5
0_25X 1,1.9443,8675382.7515,2.6
0_25X 1,1.9803,96053.8376,1.65
0_25X 1,2.0243,5992000.7728,2.95
0_25X 1,2.0683,692690.3116,1.5
0_25X 1,2.1283,17870839.8249,3
0_25X 1,2.1763,614372.2921,2.25
0_25X 1,2.2483,2296541.2566,1.6
0_25X 1,2.2843,2385426.3798,1.55
0_25X 1,2.3163,2061567.3383,2.55
0_25X 1,2.3523,3893186.7297,2.25
0_25X 1,2.3923,35447.9054,1.55
0_25X 1,2.4363,5662285.89,2.95
0_25X 1,2.4763,827903.4794,2.1
0_25X 1,2.5283,10224327.5651,2.1
0_25X 1,2.5683,7409527.8648,2.25
0_25X 1,2.6643,1090817.0125,2.9
0_25X 1,2.7163,5639161.6865,3
0_25X 1,2.7723,5053634.3546,2.05
0_25X 1,2.8083,9429472.8244,2.9
0_25X 1,2.8563,1583088.7308,1.6
0_25X 1,2.8843,1836146.4446,2.95
0_25X 1,2.9243,231623.2261,1.5
0_25X 1,2.9603,2091701.678,2.85
0_25X 2,0.6563,488645.1583,2.7
0_25X 2,0.7563,554176.547,3
0_25X 2,0.8123,169930.0174,1.55
0_25X 2,0.9283,55325.7856,2.6
0_25X 2,0.9523,178064.1584,1.7
0_25X 2,0.9923,562902.6394,2.15
0_25X 2,1.0283,3798906.8731,2.35
0_25X 2,1.0803,146647.8634,1.65
0_25X 2,1.2243,2118577.636,1.95
0_25X 2,1.2603,3156836.7193,1.6
0_25X 2,1.2923,1416305.8383,2.25
0_25X 2,1.3283,707851.4054,1.55
0_25X 2,1.3643,1201289.7534,2.7
0_25X 2,1.4083,7384357.5896,3
0_25X 2,1.4643,1164756.4437,2.2
0_25X 2,1.4963,1328142.8172,1.65
0_25X 2,1.5323,397007.4523,1.6
0_25X 2,1.5683,1056125.3834,1.65
0_25X 2,1.6283,1149434.914,1.55
0_25X 2,1.6523,1019193.7398,3
0_25X 2,1.7003,3794906.9715,1.65
0_25X 2,1.7443,170854.388,1.55
0_25X 2,1.7723,9738853.4835,2.5
0_25X 2,1.8283,986896.9965,2.05
0_25X 2,1.8563,1582472.2472,1.7
0_25X 2,1.9203,5512899.1142,3
0_25X 2,2.0043,3099293.5679,2
0_25X 2,2.0443,2452369.4628,1.5
0_25X 2,2.0803,3806624.1516,1.6
0_25X 2,2.1123,1605660.0024,1.95
0_25X 2,2.1443,21203714.4653,3
0_25X 2,2.1803,980325.8274,1.75
0_25X 2,2.2283,1248263.1781,1.65
0_25X 2,2.2803,4727652.6732,2.85
0_25X 2,2.3363,1245071.6371,1.85
0_25X 2,2.3763,4223209.9153,2.95
0_25X 2,2.4603,12858767.7632,3
0_25X 2,2.5003,1775833.7349,1.55
0_25X 2,2.5483,14513537.8983,1.75
0_25X 2,2.6123,3791169.6821,1.55
0_25X 2,2.6403,3941045.4505,2.25
0_25X 2,2.6763,4372639.6908,2.2
0_25X 2,2.7283,1375573.976,2.65
0_25X 2,2.7763,1347036.3423,1.75
0_25X 2,2.8043,4053656.5115,1.5
0_25X 2,2.8443,3820164.2855,2.15
0_25X 2,2.8923,2811666.306,1.75
0_25X 2,2.9363,14399123.2085,2.4
0_25X 2,2.9763,9311643.0938,1.55
0_25X 3,0.6163,64978.1565,1.55
0_25X 3,0.6563,467542.471,2.85
0_25X 3,0.7363,379134.9584,1.8
0_25X 3,0.7683,55737.3859,1.75
0_25X 3,0.8043,445.8643,2.75
0_25X 3,0.8483,55948.8788,2.95
0_25X 3,0.8963,10810.1917,2.05
0_25X 3,0.9323,437951.6076,1.55
0_25X 3,1.0243,4815575.3211,1.55
0_25X 3,1.0603,1820347.3854,2.7
0_25X 3,1.2083,2582145.665,1.5
0_25X 3,1.2523,1559409.2958,2.65
0_25X 3,1.3043,461216.1265,1.5
0_25X 3,1.3563,3364264.1037,1.6
0_25X 3,1.3963,594552.0962,1.6
0_25X 3,1.4283,2728984.7682,2.95
0_25X 3,1.4843,1029024.1375,2
0_25X 3,1.5323,2904339.1559,2.95
0_25X 3,1.5723,2934425.5232,1.95
0_25X 3,1.6483,660385.7804,2
0_25X 3,1.6883,5243037.1109,1.5
0_25X 3,1.7323,646619.9986,1.55
0_25X 3,1.7843,8424806.7197,1.5
0_25X 3,1.8443,2949572.4636,1.55
0_25X 3,1.9043,1702878.9023,2.9
0_25X 3,1.9643,3853680.7102,2.25
0_25X 3,2.0283,4414627.48,2.55
0_25X 3,2.0803,4236705.2599,1.6
0_25X 3,2.1403,16482728.5781,2.95
0_25X 3,2.1723,876867.5319,2.15
0_25X 3,2.2163,282373.0762,1.65
0_25X 3,2.2683,301071.4337,2.75
0_25X 3,2.3163,2196556.3858,1.7
0_25X 3,2.3443,7259732.0671,2.25
0_25X 3,2.3963,2220708.2957,1.5
0_25X 3,2.4483,1183313.0683,1.6
0_25X 3,2.4843,3923261.526,2.95
0_25X 3,2.5163,435086.1153,1.75
0_25X 3,2.5523,9923332.8753,2.85
0_25X 3,2.5843,3151038.1074,1.5
0_25X 3,2.6403,4789808.5513,1.85
0_25X 3,2.7163,7201851.067,1.85
0_25X 3,2.7403,691057.0032,2.3
0_25X 3,2.7763,757630.61,1.8
0_25X 3,2.8043,2259935.5148,2.75
0_25X 3,2.8323,15717766.4676,1.6
0_25X 3,2.9043,2010882.534,1.6
0_25X 3,2.9403,12874732.3038,1.75
0_25X 3,2.9803,854843.9371,2.75
0_5X 1,0.6363,200037.0667,1.5
0_5X 1,0.7563,1371736.9099,1.85
0_5X 1,0.9283,140661.0825,1.55
0_5X 1,0.9683,364210.8244,1.7
0_5X 1,1.0123,5351333.7752,3
