Sample,time,power,scale
0_25X 1,0.9043,80377.2839,1.55
0_25X 1,0.9443,696535.7408,2.15
0_25X 1,0.9803,754334.5404,3
0_25X 1,1.0763,2121095.4549,2.95
0_25X 1,1.1123,1295291.0624,2.25
0_25X 1,1.1523,806921.6869,1.55
0_25X 1,1.2603,457824.617,1.5
0_25X 1,1.3803,10032373.2944,2.15
0_25X 1,1.4363,1654204.5239,2.9
0_25X 1,1.4763,15359490.7114,1.55
0_25X 1,1.5283,9360735.4934,1.8
0_25X 1,1.5763,3075028.4441,1.55
0_25X 1,1.6483,791514.0978,2.85
0_25X 1,1.6803,777265.1375,2.15
0_25X 1,1.7163,6119961.8677,1.55
0_25X 1,1.7803,9162961.442,2.95
0_25X 1,1.8523,4884304.0782,2.95
0_25X 1,1.9083,5119927.557,3
0_25X 1,1.9803,4820423.0361,1.55
0_25X 1,2.0163,68411.8424,1.9
0_25X 1,2.0483,12870282.362,1.5
0_25X 1,2.0923,1722610.4295,1.5
0_25X 1,2.1443,4087376.3634,1.5
0_25X 1,2.1803,489408.5385,2.9
0_25X 1,2.2283,2013913.4617,3
0_25X 1,2.2803,2143216.1706,1.55
0_25X 1,2.3283,2874419.3193,2.45
0_25X 1,2.3883,7744990.1515,1.6
0_25X 1,2.4283,944210.471,1.55
0_25X 1,2.4643,21233030.0167,2.5
0_25X 1,2.5323,10331333.626,2.95
0_25X 1,2.5603,118275.4089,1.8
0_25X 1,2.5963,246692.4011,1.8
0_25X 1,2.6243,2718455.515,1.6
0_25X 1,2.6883,2302510.8147,3
0_25X 1,2.7603,12605998.473,2.5
0_25X 1,2.8283,14203965.0011,2.6
0_25X 1,2.8843,3890023.7489,1.65
0_25X 1,2.9523,12595806.6412,1.6
0_25X 2,0.6283,2696718.7422,1.6
0_25X 2,0.6843,4306236.8948,2.65
0_25X 2,0.7363,378650.9899,1.55
0_25X 2,0.7963,4477306.7849,2.75
0_25X 2,0.8483,2195183.3527,2.75
0_25X 2,0.8923,189086.2793,2.65
0_25X 2,0.9803,140466.0027,1.55
0_25X 2,1.0203,748521.5001,1.5
0_25X 2,1.0683,3220608.0694,1.55
0_25X 2,1.1163,1721367.4478,1.65
0_25X 2,1.2363,3696896.4524,1.5
0_25X 2,1.2683,2092251.8154,1.75
0_25X 2,1.3763,1207187.5385,1.7
0_25X 2,1.4203,3255956.756,1.5
0_25X 2,1.4763,5574278.142,1.9
0_25X 2,1.5243,1400800.1884,1.5
0_25X 2,1.5883,9287682.092,1.55
0_25X 2,1.6363,639982.0126,2.25
0_25X 2,1.6683,4331340.8425,3
0_25X 2,1.7163,3456622.3935,1.9
0_25X 2,1.7603,1273643.6031,3
0_25X 2,1.8123,232530.3876,1.6
0_25X 2,1.8923,1653892.1978,3
0_25X 2,1.9323,6974577.7039,1.9
0_25X 2,1.9643,7081285.8914,2.05
0_25X 2,2.0123,3744767.4768,1.85
0_25X 2,2.0603,5062637.2852,3
0_25X 2,2.1003,651779.3383,1.8
0_25X 2,2.1323,9019701.6411,1.6
0_25X 2,2.1963,10270849.5432,3
0_25X 2,2.2563,12470519.3499,3
0_25X 2,2.3123,3914958.4265,2.05
0_25X 2,2.3483,3458432.0242,1.7
0_25X 2,2.4043,4730757.6987,1.8
0_25X 2,2.4403,1537055.8786,2.4
0_25X 2,2.4763,2477947.9818,2.35
0_25X 2,2.5243,694243.9202,1.5
0_25X 2,2.5763,3963305.2837,3
0_25X 2,2.6323,25718018.0818,1.8
0_25X 2,2.6643,13237629.82,1.55
0_25X 2,2.6963,3485101.7919,2.45
0_25X 2,2.7283,4753304.0379,1.55
0_25X 2,2.7723,7752565.1983,1.75
0_25X 2,2.8603,9245239.4965,1.85
0_25X 2,2.8923,9793033.8973,2.2
0_25X 2,2.9243,2112183.8967,2.1
0_25X 2,2.9723,5604905.6712,1.6
0_25X 3,0.6643,4665199.2254,1.5
0_25X 3,0.7483,186200.1271,2.05
0_25X 3,0.7803,1984562.4674,1.65
0_25X 3,0.8283,117095.0476,1.5
0_25X 3,0.8803,446986.0372,3
0_25X 3,0.9443,440810.8651,1.65
0_25X 3,0.9843,544742.4591,2.65
0_25X 3,1.0203,977323.8765,1.6
0_25X 3,1.0603,615571.5976,1.55
0_25X 3,1.1043,1796938.7118,1.55
0_25X 3,1.1523,804551.55,3
0_25X 3,1.2283,1957279.4428,1.55
0_25X 3,1.2683,1940262.4639,1.5
0_25X 3,1.3923,11454889.6961,2.45
0_25X 3,1.4323,1513243.1423,1.55
0_25X 3,1.4883,3611130.5108,2.95
0_25X 3,1.5203,6326705.2482,2
0_25X 3,1.6003,3976082.6496,2.25
0_25X 3,1.6483,4423593.9934,1.6
0_25X 3,1.6803,1280936.9495,2.2
0_25X 3,1.7323,8829801.5486,2.25
0_25X 3,1.7723,11187864.9693,2.7
0_25X 3,1.8083,397311.4439,1.85
0_25X 3,1.8363,6713864.8135,2.75
0_25X 3,1.8803,2283409.4627,2.5
0_25X 3,1.9243,12940868.8922,3
0_25X 3,1.9723,9919007.3864,1.85
0_25X 3,2.0043,948411.1927,1.7
0_25X 3,2.0363,12724419.643,1.9
0_25X 3,2.0723,658738.3475,2.65
0_25X 3,2.1243,8203197.4992,1.5
0_25X 3,2.1763,6809777.2451,1.55
0_25X 3,2.2083,339675.8224,2.3
0_25X 3,2.2323,4913517.4416,1.5
0_25X 3,2.2883,2160132.1807,1.5
0_25X 3,2.3363,8069503.3598,1.55
0_25X 3,2.3843,797757.6032,2.1
0_25X 3,2.4123,5851463.2434,3
0_25X 3,2.4803,6404584.3324,1.5
0_25X 3,2.5243,109794.5499,1.5
0_25X 3,2.5643,2566722.9178,3
0_25X 3,2.6563,1939615.7527,1.55
0_25X 3,2.7003,2453108.137,1.65
0_25X 3,2.7563,1670837.1859,1.65
0_25X 3,2.8163,4811681.6119,1.55
0_25X 3,2.8523,3926159.2901,1.55
0_25X 3,2.8963,14903669.2447,1.55
0_25X 3,2.9403,3393700.7822,1.7
0_25X 3,2.9763,2375636.974,2.95
0_5X 1,0.6403,424845.0733,2.45
0_5X 1,0.7043,5745493.5793,2.25
0_5X 1,0.7963,1188548.0379,1.85
0_5X 1,0.8203,86824.2906,1.9
0_5X 1,0.8683,598065.3973,1.55
0_5X 1,0.9083,35162.0237,1.5
0_5X 1,0.9603,945575.3874,1.9
0_5X 1,0.9923,201283.8141,1.7
0_5X 1,1.0363,2846543.7373,2.25
0_5X 1,1.0923,1018221.7607,1.5
0_5X 1,1.1523,7982952.6067,2.85
0_5X 1,1.2283,20728.0963,1.6
0_5X 1,1.2723,1668969.5597,2.45
0_5X 1,1.3883,26442949.2377,1.85
0_5X 1,1.4483,566997.2768,1.9
0_5X 1,1.4803,3658954.5429,2.2
0_5X 1,1.5283,1518084.4222,1.55
0_5X 1,1.5683,3639471.8011,1.7
0_5X 1,1.6323,4855046.1132,1.8
0_5X 1,1.6963,9842241.3074,1.7
0_5X 1,1.7403,4172286.1016,3
0_5X 1,1.8003,6975146.5346,2.2
0_5X 1,1.8283,289659.7478,1.75
0_5X 1,1.8603,11859204.5371,2.05
0_5X 1,1.8963,1629247.1362,2.35
0_5X 1,1.9283,3870684.0467,1.6
0_5X 1,1.9643,1383758.6686,2.25
0_5X 1,2.0123,896688.1868,1.8
0_5X 1,2.0563,16548349.3415,3
0_5X 1,2.1203,4698025.0765,2.95
0_5X 1,2.1603,827463.0666,1.75
0_5X 1,2.2003,16191166.9607,2.95
0_5X 1,2.2443,3822499.7103,2.9
0_5X 1,2.3003,2758558.0129,1.6
0_5X 1,2.3403,7453890.7037,3
0_5X 1,2.3763,2161371.787,1.6
0_5X 1,2.4123,14943457.9218,1.55
0_5X 1,2.4683,1360208.46,1.5
0_5X 1,2.5243,644635.4875,2.05
0_5X 1,2.5563,4430465.562,1.55
0_5X 1,2.6043,7494890.1167,2.35
0_5X 1,2.6443,509679.6705,1.55
0_5X 1,2.6763,2382355.0918,2.95
0_5X 1,2.7203,1343153.6395,1.9
0_5X 1,2.7563,7491331.3346,2.95
0_5X 1,2.8123,210395.2363,2.05
0_5X 1,2.8603,9560464.1693,2.95
0_5X 1,2.9123,697967.9461,1.85
0_5X 1,2.9443,563124.5028,1.55
0_5X 1,2.9843,6141975.7781,2
0_5X 2,0.6363,1794177.2544,1.6
0_5X 2,0.6883,147489.6612,1.55
0_5X 2,0.7203,519072.0747,2.85
0_5X 2,0.7723,463997.2667,3
0_5X 2,0.8443,875924.7879,2.95
0_5X 2,0.8843,514243.1316,1.95
0_5X 2,0.9283,3610474.643,2.2
0_5X 2,0.9723,3778134.059,3
0_5X 2,1.0483,3069858.1265,3
0_5X 2,1.1043,2778265.8616,2.95
0_5X 2,1.1323,169380.9006,1.5
0_5X 2,1.2683,7747471.9223,1.7
0_5X 2,1.3763,10752857.5794,1.7
0_5X 2,1.4243,8659304.028,3
0_5X 2,1.4763,23938505.8149,2.25
0_5X 2,1.5123,2402737.3288,1.6
0_5X 2,1.5563,12589270.7055,2.4
0_5X 2,1.6163,4107355.699,1.8
0_5X 2,1.6683,785376.5403,3
0_5X 2,1.7043,1738147.3017,1.55
0_5X 2,1.7443,7815259.3214,1.6
0_5X 2,1.7843,1582214.0929,1.5
0_5X 2,1.8163,4319193.4859,1.5
0_5X 2,1.8603,7580145.6929,2.25
0_5X 2,1.9283,15969703.7019,2.05
0_5X 2,1.9763,3429249.3104,3
0_5X 2,2.0403,12408331.9773,1.9
0_5X 2,2.0723,7650868.4569,2.75
0_5X 2,2.1323,2930266.1207,1.6
0_5X 2,2.2043,818167.0324,3
0_5X 2,2.2603,2938666.7161,1.55
0_5X 2,2.3163,2641334.5228,1.5
0_5X 2,2.3523,222129.3099,1.55
0_5X 2,2.3923,18416677.7008,2.95
0_5X 2,2.5163,2981270.2845,2.95
0_5X 2,2.5883,6050501.6481,1.5
0_5X 2,2.6283,8460063.9404,1.9
0_5X 2,2.6763,10374249.0636,1.6
0_5X 2,2.7243,2301934.2582,1.6
0_5X 2,2.7563,3767766.2123,3
0_5X 2,2.7923,570528.1228,2.2
0_5X 2,2.8363,162319.4962,1.55
0_5X 2,2.8843,10739828.0421,1.6
0_5X 2,2.9203,4360494.1134,1.55
0_5X 2,2.9643,3218298.1058,1.75
0_5X 3,0.6363,67875.6912,1.7
0_5X 3,0.6723,268648.7197,2.9
0_5X 3,0.7083,102372.7856,2.45
0_5X 3,0.7403,1368365.8799,2.85
0_5X 3,0.7963,1096129.4628,2.95
0_5X 3,0.8363,132436.874,1.5
0_5X 3,0.8923,1061891.1814,1.85
0_5X 3,0.9283,1052950.2314,1.55
0_5X 3,0.9723,357053.2764,1.55
0_5X 3,1.0123,23020.6872,1.6
0_5X 3,1.0563,1558982.5456,1.95
0_5X 3,1.1243,424237.0562,1.75
0_5X 3,1.2163,4384351.8649,2
0_5X 3,1.2683,689338.7611,1.55
0_5X 3,1.3803,14838173.5365,2
0_5X 3,1.4483,1830548.6415,1.5
0_5X 3,1.4843,1893779.0445,1.5
0_5X 3,1.5203,7901961.7626,2.85
0_5X 3,1.5523,6323803.6478,1.8
0_5X 3,1.6003,11913649.5871,1.95
0_5X 3,1.6523,3088660.7966,1.95
0_5X 3,1.7123,4345182.6692,2.95
0_5X 3,1.7603,782495.8157,1.65
0_5X 3,1.8043,25378535.2865,2.9
0_5X 3,1.8603,2860707.7898,3
0_5X 3,1.9003,19004012.6848,2.4
0_5X 3,1.9443,13438289.1794,2
0_5X 3,2.0163,2916015.8951,2.45
0_5X 3,2.0563,956466.7616,2.95
0_5X 3,2.0883,1738816.4634,1.5
0_5X 3,2.1283,8451905.5429,1.55
0_5X 3,2.1763,1124535.5925,2.05
0_5X 3,2.2163,7701609.4246,3
0_5X 3,2.2843,11973306.9417,1.55
0_5X 3,2.3403,20764879.3641,3
0_5X 3,2.3843,5066227.0065,2.5
0_5X 3,2.4443,6625781.9986,2.2
0_5X 3,2.4763,2468762.7792,1.65
0_5X 3,2.5403,2439463.7957,3
0_5X 3,2.5803,2589278.3865,1.6
0_5X 3,2.6163,13781944.663,1.8
0_5X 3,2.6443,3551195.0174,2.55
0_5X 3,2.6803,42582.3422,1.65
0_5X 3,2.7123,11260504.6293,1.7
0_5X 3,2.7603,11394301.9443,1.6
0_5X 3,2.8883,2777177.5547,1.95
0_5X 3,2.9203,395873.5775,1.6
0_5X 3,2.9483,11456821.1866,2.5
1X 1,0.6243,252407.2719,1.6
1X 1,0.6723,1314434.4939,1.85
1X 1,0.7043,1032995.3799000001,2.5
1X 1,0.7603,1954.4364,1.7
1X 1,0.7923,172095.1268,3
1X 1,0.8443,13639.1754,2
1X 1,0.8843,6695017.0991,1.85
1X 1,0.9603,444849.9155,2.7
1X 1,1.0003,342925.3034,2.55
1X 1,1.0363,738938.5327,1.9
